competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo
202001,1,13,130260,D,3520402,-1,251110,999,9,46,44,1,1,0,1,31,0,0,0,9587.41,7,0,2,202001,0,99,
202001,2,23,230440,D,3511501,1,251110,111,9,29,44,3,1,0,1,20,0,1,0,5000,1,0,1,202001,0,5,5000
202001,2,29,291170,J,6311900,-1,251110,101,7,32,44,3,3,0,1,43,0,0,0,5500,4,0,1,202001,0,1,25
202001,1,15,150140,M,7220700,1,251110,999,9,40,44,6,3,0,1,20,0,0,0,2078,2,0,2,202001,0,99,
202001,3,31,310620,M,7119702,1,251110,101,9,24,44,6,3,0,1,20,0,0,0,2324,4,0,1,202001,0,5,2324
202001,4,42,421870,M,7220700,1,251110,101,80,30,44,6,1,0,1,20,0,0,0,3450.49,5,0,1,202001,0,5,3450.49
202001,5,52,520870,M,7220700,-1,251110,999,9,57,24,3,3,0,1,31,0,0,0,6350.2,5,0,2,202001,0,99,
202001,2,29,291072,M,7112000,1,251110,101,9,33,44,6,3,0,1,20,0,0,0,2300,2,0,1,202001,0,5,2300
202001,3,33,330455,M,7220700,1,251110,111,9,46,44,3,1,0,1,20,0,1,9,3198.8,4,0,1,202001,0,1,14.54
202001,3,35,355030,M,7220700,1,251110,999,9,33,44,1,1,0,1,20,0,0,0,4000,5,0,2,202001,0,99,
202001,2,29,292530,S,9430800,-1,251110,101,9,42,40,3,3,0,1,31,0,0,0,6870.06,5,0,1,202001,0,5,6870.06
202001,2,26,260960,M,7490199,-1,251110,101,80,38,44,6,3,0,1,31,0,0,0,2700,2,0,1,202001,0,5,2700
202002,4,42,421190,C,1096100,1,251110,101,7,21,44,6,1,0,1,20,0,0,0,1391,2,0,1,202002,0,5,1391
202002,2,24,240810,M,7490199,-1,251110,101,80,27,44,3,3,0,1,31,0,0,0,3650,5,0,1,202002,0,5,3650
202002,2,26,261160,M,7112000,1,251110,101,9,24,44,1,1,0,1,10,0,0,0,2286.66,3,0,1,202002,0,5,2286.66
202002,3,32,320120,M,7020400,-1,251110,101,9,30,44,1,1,0,1,43,0,0,0,4500,2,0,1,202002,0,5,4500
202002,2,29,292740,M,7220700,1,251110,101,10,31,44,3,1,0,1,20,0,0,0,6150,1,0,1,202002,0,5,6150
202002,4,42,421870,M,7220700,-1,251110,101,80,44,44,6,1,0,1,43,0,0,0,3450.49,5,0,1,202002,0,5,3450.49
202002,2,24,240810,M,7490199,1,251110,101,9,25,48,1,3,0,1,20,0,0,0,3000,5,0,1,202002,0,5,3000
202001,1,17,172100,M,7220700,1,251110,999,9,27,44,3,1,0,1,20,0,0,0,0,1,0,2,202002,1,99,
202001,1,17,172100,M,7220700,1,251110,999,9,52,40,3,1,0,1,20,0,0,0,0,1,0,2,202002,1,99,
202003,4,43,430700,M,7220700,-1,251110,101,9,34,44,2,1,0,1,31,0,0,0,1404.12,4,0,1,202003,0,5,1404.12
202003,4,42,420540,M,7112000,1,251110,101,9,41,44,3,1,0,1,20,0,0,0,8882.5,4,0,1,202003,0,5,8882.5
202003,2,23,230440,D,3511501,1,251110,111,9,37,44,3,3,0,1,20,0,1,0,5000,1,0,1,202003,0,5,5000
202003,4,42,421870,M,7220700,1,251110,101,9,26,44,6,1,0,1,20,0,0,0,3450.49,5,0,1,202003,0,5,3450.49
202003,3,31,310620,M,7112000,-1,251110,101,9,26,40,1,3,0,1,31,0,0,0,5564.17,8,0,1,202003,0,5,5564.17
202003,2,23,230440,D,3511501,1,251110,111,9,30,44,3,1,0,1,20,0,1,0,5000,1,0,1,202003,0,5,5000
202003,1,15,150140,J,6319400,1,251110,999,9,36,44,3,1,0,1,20,0,0,0,2723.08,6,0,2,202003,0,99,
202003,3,35,355030,N,8299799,-1,251110,101,80,31,44,1,3,0,1,31,0,0,0,6414,6,0,1,202003,0,5,6414
202003,1,13,130260,D,3520402,1,251110,101,9,24,44,6,1,0,1,20,0,0,0,2658.7,7,0,1,202003,0,5,2658.7
202003,3,35,355030,J,6311900,1,251110,101,9,25,20,1,3,0,1,20,0,0,0,1204.95,2,0,1,202003,0,5,1204.95
202003,5,53,530010,M,7112000,1,251110,101,80,27,44,3,3,0,1,20,0,0,0,3500,5,0,1,202003,0,5,3500
202003,3,32,320120,M,7020400,1,251110,101,9,27,44,1,1,0,1,20,0,0,0,3500,2,0,1,202003,0,5,3500
202003,3,35,355030,M,7220700,-1,251110,111,9,25,44,6,1,0,1,31,0,1,0,3201,4,0,1,202003,0,1,14.55
202003,4,42,421870,M,7220700,1,251110,101,9,31,44,6,1,0,1,20,0,0,0,3450.49,5,0,1,202003,0,5,3450.49
202003,3,31,310620,M,7112000,-1,251110,101,9,26,40,3,1,0,1,31,0,0,0,4500,8,0,1,202003,0,5,4500
202003,2,23,230440,D,3511501,1,251110,111,9,25,44,3,1,0,1,20,0,1,0,5000,1,0,1,202003,0,5,5000
202003,2,23,230440,D,3511501,1,251110,111,80,30,44,1,1,0,1,20,0,1,0,5000,1,0,1,202003,0,5,5000
202003,2,23,230440,D,3511501,1,251110,111,9,36,44,3,1,0,1,20,0,1,0,5000,1,0,1,202003,0,5,5000
202004,3,35,351518,M,7220700,-1,251110,101,9,27,44,1,3,0,1,31,0,0,0,2700,2,0,1,202004,0,5,2700
202004,2,26,261160,M,7490199,1,251110,101,7,28,44,6,1,0,1,20,0,0,0,2101.4,6,0,1,202004,0,5,2101.4
202004,5,52,520870,M,7220700,-1,251110,999,9,53,44,1,1,0,1,31,0,0,0,6901.62,5,0,2,202004,0,99,
202004,4,42,421870,M,7220700,1,251110,101,9,29,44,6,3,0,1,20,0,0,0,3450.49,5,0,1,202004,0,5,3450.49
202004,3,35,355100,G,4774100,-1,251110,999,7,38,44,5,1,0,1,31,0,0,0,1544.83,3,0,2,202004,0,99,
202004,4,42,420540,M,7112000,1,251110,101,9,33,20,6,3,0,1,20,0,0,0,4392.49,7,0,1,202004,0,5,4392.49
202004,3,35,355030,M,7220700,-1,251110,101,9,47,40,1,1,0,1,32,0,0,0,5646.85,4,0,1,202004,0,5,5646.85
202004,2,29,292740,M,7220700,-1,251110,101,10,31,44,3,1,0,1,43,0,0,0,6150,1,0,1,202004,0,5,6150
202004,4,42,420420,P,8531700,-1,251110,101,10,37,40,2,3,0,1,31,0,0,0,2906.35,9,0,1,202004,0,5,2906.35
202004,3,35,351518,M,7220700,-1,251110,101,9,31,44,6,1,0,1,31,0,0,0,3288.62,2,0,1,202004,0,5,3288.62
202004,4,41,412550,G,4619200,-1,251110,101,9,18,36,6,1,0,1,31,0,0,0,1366,4,0,1,202004,0,5,1366
202005,3,32,320530,M,7112000,1,251110,101,9,32,44,1,1,0,1,20,0,0,0,2782.65,6,0,1,202005,0,5,2782.65
202005,2,28,280030,M,7112000,1,251110,101,7,27,44,6,1,0,1,20,0,0,0,2800,3,0,1,202005,0,5,2800
202005,4,43,431440,M,7220700,-1,251110,101,9,28,44,1,3,0,1,31,0,0,0,2500,3,0,1,202005,0,5,2500
202005,4,42,421870,M,7220700,-1,251110,101,80,30,44,6,1,0,1,31,0,0,0,3519.5,5,0,1,202005,0,5,3519.5
202005,1,17,170210,K,6462000,-1,251110,101,9,41,44,3,3,0,1,31,0,0,9,4875.05,5,0,1,202005,0,5,4875.05
202005,3,33,330455,M,7220700,-1,251110,111,9,30,44,1,3,0,1,40,0,1,9,3198.8,4,0,1,202005,0,1,14.54
202004,3,33,330455,M,7210000,-1,251110,101,9,36,40,1,1,0,1,31,0,0,0,4000,3,0,1,202005,1,5,4000
202004,3,33,330455,M,7210000,-1,251110,101,9,42,21,1,3,0,1,31,0,0,0,1575.9,3,0,1,202005,1,5,1575.9
202004,2,28,280030,F,4120400,-1,251110,999,9,41,44,1,3,0,1,90,0,0,0,0,4,0,2,202005,1,99,
202006,2,23,230440,D,3511501,-1,251110,111,80,31,44,1,1,0,1,43,0,1,0,5000,1,0,1,202006,0,5,5000
202006,4,42,421870,M,7220700,-1,251110,101,9,29,44,6,1,0,1,40,0,0,0,3519.5,5,0,1,202006,0,5,3519.5
202006,4,42,421870,M,7220700,1,251110,999,9,44,44,6,1,0,1,20,0,0,0,3519.5,5,0,2,202006,0,99,
202006,2,29,292740,M,7112000,1,251110,101,9,27,42,6,3,0,1,20,0,0,0,3168,5,0,1,202006,0,5,3168
202006,3,35,355030,N,8299799,-1,251110,101,10,29,44,1,3,0,1,31,0,0,0,5119,6,0,1,202006,0,5,5119
202006,3,35,355030,N,7820500,1,251110,106,9,36,44,3,3,0,1,20,0,0,0,5500,10,0,1,202006,0,5,5500
202006,2,29,292740,F,4213800,-1,251110,101,9,49,44,6,1,0,1,31,0,0,0,3640.42,7,0,1,202006,0,5,3640.42
202006,4,42,421870,M,7220700,-1,251110,999,9,29,44,6,3,0,1,45,0,0,0,3519.5,5,0,2,202006,0,99,
202006,3,35,355030,M,7220700,1,251110,999,9,33,44,1,1,0,1,20,0,0,0,4500,5,0,2,202006,0,99,
202006,4,42,421950,F,4221901,-1,251110,101,9,33,44,1,1,0,1,40,0,0,0,5512,5,0,1,202006,0,5,5512
202006,4,43,431490,M,7112000,1,251110,101,9,23,44,3,3,0,1,20,0,0,0,3500,7,0,1,202006,0,5,3500
202006,3,35,355030,N,7820500,1,251110,106,80,41,44,1,3,0,1,20,0,0,0,4077,10,0,1,202006,0,5,4077
202003,1,13,130260,F,4321500,1,251110,999,9,46,44,3,1,0,1,20,0,0,0,0,6,0,2,202006,1,99,
202003,1,13,130260,F,4321500,-1,251110,999,9,26,44,3,3,0,1,31,0,0,0,0,6,0,2,202006,1,99,
202007,3,31,310620,M,7112000,-1,251110,101,9,52,40,2,1,0,1,31,0,0,0,5564.17,8,0,1,202007,0,5,5564.17
202007,2,29,292740,M,7112000,1,251110,101,9,31,42,3,1,0,1,20,0,0,0,3168,5,0,1,202007,0,5,3168
202007,3,35,355030,M,7220700,-1,251110,101,9,52,40,6,3,0,1,31,0,0,0,4511.8,4,0,1,202007,0,5,4511.8
202007,3,33,330045,M,7220700,1,251110,101,80,59,44,1,1,0,1,20,0,0,0,2500,2,0,1,202007,0,5,2500
202007,2,29,292740,M,7112000,-1,251110,101,9,27,42,6,3,0,1,40,0,0,0,3168,5,0,1,202007,0,5,3168
202007,3,35,352930,C,2833000,1,251110,101,80,31,44,1,1,0,1,20,0,0,0,8821.02,10,0,1,202007,0,5,8821.02
202007,4,42,421870,M,7220700,1,251110,101,9,27,44,6,3,0,1,20,0,0,0,3515.5,5,0,1,202007,0,5,3515.5
202007,3,31,311860,M,7111100,-1,251110,101,9,35,42,3,1,0,1,31,0,0,0,8500,6,0,1,202007,0,5,8500
202006,4,43,431560,M,7220700,-1,251110,999,9,31,44,1,3,0,1,31,0,0,0,0,1,0,2,202007,1,99,
202008,3,33,330455,Q,8610101,-1,251110,101,7,32,44,1,3,0,1,31,0,0,0,1945.36,8,0,1,202008,0,5,1945.36
202008,2,29,292740,F,4213800,-1,251110,101,9,41,44,3,1,0,1,31,0,0,0,3640.42,7,0,1,202008,0,5,3640.42
202008,2,26,261160,M,7112000,1,251110,101,7,39,44,6,1,0,1,20,0,0,0,1045,3,0,1,202008,0,5,1045
202008,3,35,355030,M,7112000,1,251110,101,9,30,44,3,3,0,1,20,0,0,0,1500,1,0,1,202008,0,5,1500
202008,2,26,261160,M,7112000,1,251110,101,7,38,44,6,1,0,1,20,0,0,0,1045,3,0,1,202008,0,5,1045
202008,3,35,355030,M,6920601,-1,251110,101,9,51,44,3,3,0,1,31,0,0,0,5339.88,5,0,1,202008,0,5,5339.88
202008,4,42,420420,N,8211300,-1,251110,101,7,31,44,1,1,0,1,31,0,0,0,1813.34,2,0,1,202008,0,5,1813.34
202008,3,35,355030,M,7220700,1,251110,101,9,37,44,6,3,0,1,20,0,0,0,5000,4,0,1,202008,0,99,
202008,3,31,311860,M,7111100,1,251110,101,9,27,42,3,3,0,1,20,0,0,0,7786.52,6,0,1,202008,0,5,7786.52
202008,2,26,261160,M,7112000,1,251110,101,10,35,44,1,1,0,1,20,0,0,0,2864.83,3,0,1,202008,0,5,2864.83
202008,2,26,261160,M,7112000,1,251110,101,10,50,44,6,1,0,1,20,0,0,0,2864.83,3,0,1,202008,0,5,2864.83
202008,4,43,430700,M,7220700,-1,251110,101,9,31,44,3,1,0,1,40,0,0,0,2600,4,0,1,202008,0,5,2600
202008,5,52,521973,M,7119701,-1,251110,101,7,48,44,3,1,0,1,31,0,0,0,2000,2,0,1,202008,0,5,2000
202008,4,42,421950,M,7112000,1,251110,101,9,27,44,1,3,0,1,20,0,0,0,2500,2,0,1,202008,0,5,2500
202008,2,24,240810,M,7490199,1,251110,101,9,27,48,1,1,0,1,20,0,0,0,3050,5,0,1,202008,0,5,3050
202008,5,52,520890,M,7111100,1,251110,101,9,43,44,6,1,0,1,20,0,0,0,3054,3,0,1,202008,0,5,3054
202008,3,35,355030,M,7220700,-1,251110,101,9,37,40,1,3,0,1,32,0,0,0,5646.85,4,0,1,202008,0,5,5646.85
202008,2,29,292740,F,4213800,-1,251110,101,9,47,44,3,1,0,1,31,0,0,0,5140.42,7,0,1,202008,0,5,5140.42
202008,3,35,355030,M,7220700,1,251110,999,9,29,44,1,1,0,1,20,0,0,0,4300,5,0,2,202008,0,99,
202008,4,42,421950,M,7112000,1,251110,101,9,36,44,3,1,0,1,20,0,0,0,2500,2,0,1,202008,0,5,2500
202008,3,35,355030,M,7220700,1,251110,999,9,27,44,1,3,0,1,20,0,0,0,4300,5,0,2,202008,0,99,
202008,2,29,292740,F,4213800,-1,251110,101,9,43,44,3,1,0,1,31,0,0,0,3640.42,7,0,1,202008,0,5,3640.42
202008,2,26,261160,M,7112000,1,251110,101,7,37,44,6,1,0,1,20,0,0,0,1045,3,0,1,202008,0,5,1045
202009,3,33,330330,L,6821801,1,251110,101,7,52,42,1,3,0,1,20,0,0,0,3135,2,0,1,202009,0,5,3135
202009,3,31,310620,M,7220700,1,251110,101,9,26,45,6,3,0,1,20,0,0,0,270,1,0,1,202009,0,5,270
202009,4,43,431490,M,7112000,-1,251110,101,9,42,27,3,3,0,1,31,0,0,0,2500,7,0,1,202009,0,5,2500
202009,1,17,172100,M,7220700,-1,251110,999,7,28,17,6,1,0,1,40,0,0,0,11.88,1,0,2,202009,0,99,
202009,4,42,421870,M,7220700,-1,251110,101,9,30,44,6,3,0,1,31,0,0,0,3519.5,5,0,1,202009,0,5,3519.5
202009,3,31,317070,G,4751201,1,251110,999,7,20,44,6,3,0,1,20,0,0,0,1116,2,0,2,202009,0,99,
202009,2,26,261160,M,7112000,-1,251110,101,7,38,44,6,1,0,1,40,0,0,0,1045,3,0,1,202009,0,5,1045
202009,3,31,310620,M,7220700,1,251110,101,11,48,45,6,3,0,1,20,0,0,0,350,1,0,1,202009,0,5,350
202009,1,17,172100,M,7220700,1,251110,101,7,26,44,6,1,0,1,20,0,0,0,1568.6,1,0,1,202009,0,1,7.13
202009,4,43,430700,M,7220700,1,251110,101,9,26,44,3,3,0,1,20,0,0,0,2000,4,0,1,202009,0,5,2000
202010,2,28,280030,M,7112000,-1,251110,101,7,27,44,6,1,0,1,31,0,0,0,2800,3,0,1,202010,0,5,2800
202010,2,26,261160,M,7112000,1,251110,101,9,50,44,3,3,0,1,20,0,0,0,2286.66,3,0,1,202010,0,5,2286.66
202010,2,22,221100,G,4712100,1,251110,999,7,35,44,2,3,0,1,10,0,0,0,1178.9,2,0,2,202010,0,99,
202010,3,31,310620,M,7490199,1,251110,101,9,41,44,1,1,0,1,20,0,0,0,3500,2,0,1,202010,0,5,3500
202010,2,29,292740,F,4213800,-1,251110,101,7,28,44,3,3,0,1,31,0,0,0,4140.42,7,0,1,202010,0,5,4140.42
202010,2,26,261160,M,7112000,1,251110,101,9,25,44,3,1,0,1,20,0,0,0,2286.66,3,0,1,202010,0,5,2286.66
202010,4,43,431440,M,7220700,-1,251110,101,9,24,44,1,3,0,1,31,0,0,0,2700,3,0,1,202010,0,5,2700
202010,2,29,292740,M,7220700,1,251110,101,7,43,44,3,1,0,1,20,0,0,0,3500,1,0,1,202010,0,5,3500
202010,3,32,320120,M,7020400,1,251110,101,9,28,44,6,1,0,1,10,0,0,0,3500,2,0,1,202010,0,5,3500
202010,2,27,270430,G,4774100,1,251110,101,7,27,44,3,3,0,1,20,0,0,0,1060,2,0,1,202010,0,5,1060
202010,3,31,310620,M,7220700,-1,251110,101,9,26,45,6,3,0,1,43,0,0,0,270,1,0,1,202010,0,5,270
202010,2,28,280030,M,7112000,1,251110,101,7,26,44,6,1,0,1,20,0,0,0,2800,3,0,1,202010,0,5,2800
202010,3,31,310620,M,7220700,-1,251110,101,11,48,45,6,3,0,1,43,0,0,0,350,1,0,1,202010,0,5,350
202010,2,28,280030,M,7112000,1,251110,101,7,31,44,6,1,0,1,20,0,0,0,2800,3,0,1,202010,0,5,2800
202010,3,35,355030,M,7220700,1,251110,999,9,30,44,1,3,0,1,20,0,0,0,4300,5,0,2,202010,0,99,
202010,2,29,292740,M,7220700,1,251110,101,7,41,44,3,1,0,1,20,0,0,0,3500,1,0,1,202010,0,5,3500
202001,3,31,310620,S,9491000,1,251110,999,7,58,44,1,1,0,1,20,0,0,0,0,1,0,2,202010,1,99,
202007,3,31,310620,S,9491000,-1,251110,999,7,58,44,1,1,0,1,31,0,0,0,0,1,0,2,202010,1,99,
202011,3,35,355030,N,7820500,1,251110,106,80,36,44,1,3,0,1,20,0,0,0,3977.46,10,0,1,202011,0,5,3977.46
202011,5,51,510340,S,9430800,-1,251110,999,10,41,40,1,1,0,1,31,0,0,0,7412.88,8,0,2,202011,0,99,
202011,2,28,280030,M,7112000,-1,251110,101,7,31,44,6,1,0,1,43,0,0,0,2800,3,0,1,202011,0,5,2800
202011,2,23,230440,M,7112000,-1,251110,101,9,38,44,3,3,0,1,31,0,0,0,5000,5,0,1,202011,0,5,5000
202011,4,42,421870,M,7220700,-1,251110,101,9,32,44,6,1,0,1,31,0,0,0,3519.5,5,0,1,202011,0,5,3519.5
202011,2,23,230440,M,7112000,-1,251110,101,9,31,44,3,1,0,1,31,0,0,0,5000,5,0,1,202011,0,5,5000
202011,2,29,292740,M,7220700,1,251110,101,10,42,44,6,1,0,1,20,0,0,9,5225,1,0,1,202011,0,5,5225
202011,2,23,230440,M,7112000,-1,251110,101,9,26,44,3,1,0,1,31,0,0,0,5000,5,0,1,202011,0,5,5000
202011,3,35,355030,N,7820500,1,251110,106,9,28,44,3,3,0,1,20,0,0,0,3977.46,10,0,1,202011,0,5,3977.46
202011,4,42,421870,M,7220700,-1,251110,101,9,30,44,6,3,0,1,31,0,0,0,3519.5,5,0,1,202011,0,5,3519.5
202011,2,28,280030,M,7112000,1,251110,101,7,28,44,6,1,0,1,20,0,0,0,2800,3,0,1,202011,0,5,2800
202011,4,42,421870,M,7220700,-1,251110,101,80,44,44,6,1,0,1,31,0,0,0,3519.5,5,0,1,202011,0,5,3519.5
